"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Economic_Empowerment_Resource_gwp1_n_5","Economic_Empowerment_Resource_gwp2_n_5","Economic_Empowerment_Resource_SL_CPA_YEMP","Economics_Resource","Economic_Empowerment_Agency_Account_Ratio","Economics_Agency","Economic_Empowerment_Achievement_BetterOff","Economic_Empowerment_Achievement_SL_TLF_NEET_Both","Economic_Empowerment_Achievement_WorkPov","Economics_Achievement","Economics"
"Bahrain",48,"BHR","Western Asia","Northern Africa and Western Asia","Arab States",0.9928374,0.9692401,0.636363636363636,0.866147044588398,0.871008993678551,0.871008993678551,0.370583769340506,0.707072022046159,0.942248717010096,0.673301502125619,0.803485845994037
"Bangladesh",50,"BGD","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.7624655,0.2862033,0.592592592592593,0.54708713031711,0.900558759998158,0.900558759998158,0.887445887445887,0.726,0.9367,0.85004862829858,0.765898172105385
"Armenia",51,"ARM","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.9081364,0.8084227,0.333333333333333,0.68329747709448,0.987031320864074,0.987031320864074,0.370583769340506,0.689,0.9955,0.685027922428474,0.785118906010557
"Barbados",52,"BRB","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.333333333333333,0.636771335119988,0.869358224887103,0.869358224887103,0.577988089087824,0.790124254889638,0.9997,0.78927078053655,0.765133446082747
"Belgium",56,"BEL","Western Europe","Europe and Northern America","Non-UNFPA Country",1,0.9913197,1,0.99710656566956,0.975241707360991,0.975241707360991,0.5141687685561,0.907,0.999482041180057,0.806883602438502,0.92641062422994
"Bhutan",64,"BTN","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.715527903280476,0.245907760499144,0.592592592592593,0.518009418272728,0.668152290426034,0.668152290426034,0.734026392371266,0.701541753088014,0.9856,0.807056047679371,0.664405918128305
"Bolivia (Plurinational State of)",68,"BOL","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.9127396,0.8096672,0.648148148148148,0.790184981925864,0.80870939438911,0.80870939438911,0.402040816326531,0.898,0.9344,0.744813604697363,0.781235992889543
"Bosnia and Herzegovina",70,"BIH","Southern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.9762865,0.9093406,0,0.628542366038124,0.792853928470639,0.792853928470639,0.5141687685561,0.788,0.9997,0.76728958875141,0.729561960357162
"Botswana",72,"BWA","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.8530865,0.5473755,0.333333333333333,0.577931777199846,1,1,0.575277820241892,0.668,0.8661,0.703125939377505,0.760352571432098
"Brazil",76,"BRA","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.9124902,0.8411803,0.666666666666667,0.806779054748777,0.79243958457836,0.79243958457836,0.693677041437579,0.765,0.981,0.813225679665967,0.804148105526887
"Belize",84,"BLZ","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.842850875161716,0.734129798775229,0.333333333333333,0.636771335119988,0.916636884274721,0.916636884274721,0.577988089087824,0.727,0.8858,0.730262695632345,0.761223637581128
