"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Safety_and_Security_Resource_INFORM","Safety_Resource","Safety_and_Security_Agency_humanrights","Safety_and_Security_Agency_pol_part","Safety_Agency","Safety_and_Security_Achievement_Displacement","Safety_and_Security_Achievement_InterViolence","Safety_and_Security_Achievement_SelfHarm","Safety_Achievement","Safety"
"Singapore",702,"SGP","South-Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.95,0.95,0.834394904458599,0.2625,0.548447452229299,0.999945598585563,0.993405965667336,0.896212135318069,0.963187898893801,0.820545116220489
"Slovakia",703,"SVK","Eastern Europe","Europe and Northern America","Non-UNFPA Country",0.84,0.84,0.608079956143569,0.444369177422319,0.526224566782944,1,0.980050857890846,0.889098082187918,0.956382979069872,0.774202514510069
"Viet Nam",704,"VNM","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.62,0.62,0.918781725888325,0.0253807106598985,0.472081218274112,0.999950456673622,0.974386553553297,0.895429267499317,0.95658875828549,0.682889991503644
"Slovenia",705,"SVN","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.88,0.88,0.413461538461538,0.424242424242424,0.418851981351981,1,0.989666295453718,0.851840997492538,0.947169096701583,0.748673691935848
"Somalia",706,"SOM","Eastern Africa","Sub-Saharan Africa","Arab States",0.14,0.14,0.540528334391958,0.217637547312259,0.379082940852109,0.612912365216046,0.776369304563049,0.900247991147497,0.763176552879021,0.42741983081629
"South Africa",710,"ZAF","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.53,0.53,0.590742956348289,0.201052710075643,0.395897833211966,0.999970729126208,0.513121981388044,0.840228343848644,0.784440350669858,0.570112727390495
"Zimbabwe",716,"ZWE","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.47,0.47,0.350943396226415,0.157303370786517,0.254123383506466,0.999143701624664,0.827456421571354,0.783538143019275,0.870046087868385,0.531389823260227
"Spain",724,"ESP","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.79,0.79,0.640399142474714,0.319755257293173,0.480077199883943,0.999977633232543,0.992976054868197,0.944796521034178,0.979250068732389,0.749775755455669
"South Sudan",728,"SSD","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.16,0.16,0.540528334391958,0.217637547312259,0.379082940852109,0.484219702222444,0.843739535072362,0.945421535508655,0.757793590176693,0.432292176577309
"Sudan",729,"SDN","Northern Africa","Northern Africa and Western Asia","Arab States",0.36,0.36,0.45117503717855,0.163664346248988,0.307419691713769,0.95885580033845,0.969152664102043,0.894493741789497,0.940834067802496,0.536084585969337
"Western Sahara",732,"ESH","Northern Africa","Northern Africa and Western Asia","Non-UNFPA Country",0.5775,0.5775,0.45117503717855,0.163664346248988,0.307419691713769,1,0.959076500414841,0.931748245537489,0.963608247687168,0.616175979184137
"Suriname",740,"SUR","South America","Latin America and the Caribbean","Latin America & the Caribbean",0.67,0.67,0.415123279914856,0.333297885554918,0.374210582734887,1,0.856397755418436,0.674813032752316,0.843736928546514,0.629315836464484
"Eswatini",748,"SWZ","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.61,0.61,0.540528334391958,0.217637547312259,0.379082940852109,0.999785728315408,0.616321940971793,0.717251463868924,0.777786376940922,0.588956438675387
"Sweden",752,"SWE","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.86,0.86,0.776936252216267,0.701950104909044,0.739443178562656,1,0.981137382873708,0.855811202368976,0.945649527468578,0.84836423449538
"Switzerland",756,"CHE","Western Europe","Europe and Northern America","Non-UNFPA Country",0.86,0.86,0.608079956143569,0.444369177422319,0.526224566782944,1,0.991604013899677,0.878299890560331,0.956634633863368,0.780953066101151
"Syrian Arab Republic",760,"SYR","Western Asia","Northern Africa and Western Asia","Arab States",0.29,0.29,0.45117503717855,0.163664346248988,0.307419691713769,0.189825799466572,0.963476595265233,0.965831215650937,0.706377869421203,0.434599186610392
"Tajikistan",762,"TJK","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.55,0.55,0.914414414414414,0.148648648648649,0.531531531531531,0.999514281088391,0.971716566318419,0.916225324644568,0.962485389721307,0.681338973069607
"Thailand",764,"THA","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.59,0.59,0.640776699029126,0.213592233009709,0.427184466019418,0.999995273020489,0.891987296123811,0.865184359108664,0.919055641831932,0.64541336863837
"Togo",768,"TGO","Western Africa","Sub-Saharan Africa","West & Central Africa",0.51,0.51,0.540528334391958,0.217637547312259,0.379082940852109,0.998961482981497,0.892851924584329,0.918711834394902,0.936841746383401,0.608641561803195
"Tonga",776,"TON","Polynesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.62,0.62,0.881394958152483,0.166046415324419,0.523720686738451,1,0.977725430627756,0.88474040508806,0.954155277617783,0.699291987419453
"Trinidad and Tobago",780,"TTO","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.74,0.74,0.340579710144928,0.28695652173913,0.313768115942029,0.99991064647277,0.574086612410796,0.827181553105844,0.80039293652941,0.618053683539093
"United Arab Emirates",784,"ARE","Western Asia","Northern Africa and Western Asia","Arab States",0.83,0.83,0.45117503717855,0.163664346248988,0.307419691713769,0.999979174389497,0.988975310710577,0.9453061774362,0.978086886534005,0.705168858710756
"Tunisia",788,"TUN","Northern Africa","Northern Africa and Western Asia","Arab States",0.67,0.67,0.493055555555556,0.144827586206897,0.318941570881227,0.999882100717014,0.987956159216163,0.94429615333847,0.977378136779837,0.655439901898248
"Turkey",792,"TUR","Western Asia","Northern Africa and Western Asia","Eastern Europe & Central Asia",0.51,0.51,0.603351955307263,0.127371273712737,0.36536161451,0.998506361957631,0.970323441530876,0.943950269021639,0.970926689865788,0.6154294341765
"Turkmenistan",795,"TKM","Central Asia","Central and Southern Asia","Eastern Europe & Central Asia",0.76,0.76,0.706488655940247,0.301409689467436,0.503949172703842,0.999878945005725,0.941447600636094,0.798544628706841,0.913290390536263,0.725746520354288
"Uganda",800,"UGA","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.37,0.37,0.540528334391958,0.217637547312259,0.379082940852109,0.999885667106252,0.881792622890963,0.927624695164095,0.936434327450669,0.56183908887242
