"Country","ISONum","ISOAlph","Subregion","SDG","UNFPAGroup","Education_Resource_Educ_GDP","Education_Resource_SH_LGR_ACSRHES3","Education_Resource","Education_Agency_SE.SEC.ENRR","Education_Agency","Education_Achievement_UpperSec_Both","Education_Achievement","Education"
"Luxembourg",442,"LUX","Western Europe","Europe and Northern America","Non-UNFPA Country",0.244417333602905,0.763157894736842,0.503787614169874,1,1,0.6916,0.6916,0.731795870658162
"China, Macao SAR",446,"MAC","Eastern Asia","Eastern and South-Eastern Asia","Non-UNFPA Country",0.204097334543864,0.89125,0.547673667271932,1,1,0.599863627246118,0.599863627246118,0.715845764123504
"Madagascar",450,"MDG","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.19632666905721,0.4865625,0.341444584528605,0.273283343844943,0.273283343844943,0.0552001,0.0552001,0.223309342567873
"Malawi",454,"MWI","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.193841330210368,1,0.596920665105184,0.300943459404839,0.300943459404839,0.1412971,0.1412971,0.346387074490287
"Malaysia",458,"MYS","South-Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.277559343973795,1,0.638779671986898,0.819424014621311,0.819424014621311,0.599863627246118,0.599863627246118,0.68602243726542
"Maldives",462,"MDV","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.274772675832113,0.81,0.542386337916056,0.792520819769966,0.792520819769966,0.3965343,0.3965343,0.57714715198486
"Mali",466,"MLI","Western Africa","Sub-Saharan Africa","West & Central Africa",0.229245328903198,0,0.114622664451599,0.344747543334961,0.344747543334961,0.1646989,0.1646989,0.20802303572083
"Malta",470,"MLT","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.310108661651611,1,0.655054330825806,1,1,0.7512,0.7512,0.802084776139851
"Martinique",474,"MTQ","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.312061009744201,0.614117647058823,0.463089328401512,0.985219761244409,0.985219761244409,0.635583696608455,0.635583696608455,0.694630928056828
"Mauritania",478,"MRT","Western Africa","Sub-Saharan Africa","West & Central Africa",0.125772666931153,0,0.0628863334655763,0.32676633199056,0.32676633199056,0.2416212,0.2416212,0.210424621608287
"Mauritius",480,"MUS","Eastern Africa","Sub-Saharan Africa","Non-UNFPA Country",0.307199986775716,0,0.153599993387858,0.968012237548828,0.968012237548828,0.264980167392068,0.264980167392068,0.462197465647387
"Mexico",484,"MEX","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.283628654479981,0.94,0.61181432723999,1,1,0.5873,0.5873,0.733038108346959
"Mongolia",496,"MNG","Eastern Asia","Eastern and South-Eastern Asia","Asia & the Pacific",0.329392655690511,0.89125,0.610321327845256,0.905592854817709,0.905592854817709,0.6307747,0.6307747,0.715562960172092
"Republic of Moldova",498,"MDA","Eastern Europe","Europe and Northern America","Eastern Europe & Central Asia",0.406971995035807,0.763157894736842,0.585064944886325,1,1,0.6459719,0.6459719,0.743678947551763
"Montenegro",499,"MNE","Southern Europe","Europe and Northern America","Non-UNFPA Country",0.33134120692004,0,0.16567060346002,0.8932984246148,0.8932984246148,0.8399847,0.8399847,0.632984575391955
"Morocco",504,"MAR","Northern Africa","Northern Africa and Western Asia","Arab States",0.291276784036674,0.288,0.289638392018337,0.805047014024522,0.805047014024522,0.1982109,0.1982109,0.430965434916654
"Mozambique",508,"MOZ","Eastern Africa","Sub-Saharan Africa","East & Southern Africa",0.415332667032877,1,0.707666333516439,0.282296880086263,0.282296880086263,0.067298,0.067298,0.352420404181814
"Oman",512,"OMN","Western Asia","Northern Africa and Western Asia","Arab States",0.360880661010742,0.288,0.324440330505371,1,1,0.389384152075026,0.389384152075026,0.571274826955524
"Namibia",516,"NAM","Southern Africa","Sub-Saharan Africa","East & Southern Africa",0.62730598449707,1,0.813652992248535,0.39090452454808,0.39090452454808,0.3661345,0.3661345,0.523564005075308
"Nepal",524,"NPL","Southern Asia","Central and Southern Asia","Asia & the Pacific",0.295630009969075,0,0.147815004984538,0.839127688937717,0.839127688937717,0.068714,0.068714,0.351885564288866
"Netherlands",528,"NLD","Western Europe","Europe and Northern America","Non-UNFPA Country",0.357176653544108,1,0.678588326772054,1,1,0.7907,0.7907,0.823096108100922
"Curaçao",531,"CUW","Caribbean","Latin America and the Caribbean","Non-UNFPA Country",0.328730010986328,0.614117647058823,0.471423829022576,1,1,0.635583696608455,0.635583696608455,0.702335841174675
"Aruba",533,"ABW","Caribbean","Latin America and the Caribbean","Latin America & the Caribbean",0.36609001159668,0.614117647058823,0.490103829327752,1,1,0.635583696608455,0.635583696608455,0.70856250793684
"New Caledonia",540,"NCL","Melanesia","Oceania (excluding Australia and New Zealand)","Non-UNFPA Country",0.452088421583176,0.89125,0.671669210791588,0.458203709806501,0.458203709806501,0.260925397058824,0.260925397058824,0.463599438755371
"Vanuatu",548,"VUT","Melanesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.154166666666667,0.89125,0.522708333333333,0.462703238593208,0.462703238593208,0.0711235,0.0711235,0.352178356956669
"New Zealand",554,"NZL","Australia/New Zealand","Australia/New Zealand","Non-UNFPA Country",0.403233337402344,1,0.701616668701172,1,1,0.8502,0.8502,0.850605555383118
"Nicaragua",558,"NIC","Central America","Latin America and the Caribbean","Latin America & the Caribbean",0.229522005716959,0.614117647058823,0.421819826387891,0.70480465359158,0.70480465359158,0.4092,0.4092,0.511941492814549
"Niger",562,"NER","Western Africa","Sub-Saharan Africa","West & Central Africa",0.234877999623617,1,0.617438999811808,0.158374998304579,0.158374998304579,0.0162842,0.0162842,0.26403273244143
"Nigeria",566,"NGA","Western Africa","Sub-Saharan Africa","West & Central Africa",0.272722361123923,1,0.636361180561962,0.372345987955729,0.372345987955729,0.5929161,0.5929161,0.533874422305356
"Norway",578,"NOR","Northern Europe","Europe and Northern America","Non-UNFPA Country",0.509607346852621,0.763157894736842,0.636382620794731,1,1,0.7756,0.7756,0.803994206127583
"Micronesia (Fed. States of)",583,"FSM","Micronesia","Oceania (excluding Australia and New Zealand)","Asia & the Pacific",0.646470006306966,0.89125,0.768860003153483,0.458203709806501,0.458203709806501,0.260925397058824,0.260925397058824,0.495996369510273
